id_sewa,nama_barang,jenis,tanggal_sewa,durasi_sewa,hari,bulan,stok,total_biaya
MIP-00082,TV 55 Inch,TV,2024-10-18,2,Friday,10,19,1127000
MIP-00083,TV 50 Inch,TV,2025-09-18,7,Thursday,9,5,3043000
MIP-00084,TV 50 Inch,TV,2025-11-10,1,Monday,11,9,411000
MIP-00085,TV 50 Inch,TV,2024-04-28,1,Sunday,4,9,433000
MIP-00086,TV 50 Inch,TV,2024-10-15,5,Tuesday,10,11,2171000
MIP-00087,TV 55 Inch,TV,2024-07-27,6,Saturday,7,13,3452000
MIP-00088,TV 75 Inch,TV,2024-09-14,7,Saturday,9,6,8631000
MIP-00089,Screen 2x3,Screen,2025-10-11,4,Saturday,10,13,1293000
MIP-00090,Epson 6000 Lumens,Proyektor,2024-01-04,3,Thursday,1,9,2983000
MIP-00091,TV 50 Inch,TV,2024-06-14,6,Friday,6,19,2495000
MIP-00092,TV 65 Inch,TV,2025-07-28,1,Monday,7,8,730000
MIP-00093,Screen 2x3,Screen,2025-12-08,2,Monday,12,6,631000
MIP-00094,TV 55 Inch,TV,2025-08-19,5,Tuesday,8,9,2784000
MIP-00095,TV 65 Inch,TV,2024-05-10,1,Friday,5,14,738000
MIP-00096,TV 55 Inch,TV,2026-03-26,7,Thursday,3,6,3845000
MIP-00097,TV 55 Inch,TV,2024-08-03,6,Saturday,8,12,3315000
MIP-00098,Screen 2x3,Screen,2024-12-28,7,Saturday,12,18,2070000
MIP-00099,Screen 3x4,Screen,2024-08-30,7,Friday,8,10,2534000
MIP-00100,Screen 3x4,Screen,2025-02-26,1,Wednesday,2,10,369000
MIP-00101,TV 55 Inch,TV,2026-03-12,4,Thursday,3,12,1994000
MIP-00102,TV 50 Inch,TV,2024-06-12,7,Wednesday,6,8,3236000
MIP-00103,TV 65 Inch,TV,2024-02-09,7,Friday,2,20,4718000
MIP-00104,TV 43 Inch,TV,2024-07-23,7,Tuesday,7,19,2104000
MIP-00105,TV 55 Inch,TV,2024-11-08,7,Friday,11,12,4164000
MIP-00106,TV 43 Inch,TV,2024-01-25,6,Thursday,1,11,1710000
MIP-00107,TV 65 Inch,TV,2024-12-02,3,Monday,12,7,2062000
MIP-00108,TV 50 Inch,TV,2024-12-25,6,Wednesday,12,17,2838000
MIP-00109,TV 55 Inch,TV,2024-01-29,1,Monday,1,13,520000
MIP-00110,Screen 3x4,Screen,2025-08-17,3,Sunday,8,6,1098000
MIP-00111,Screen 2x3,Screen,2025-09-02,4,Tuesday,9,16,1150000
MIP-00112,TV 55 Inch,TV,2025-03-22,5,Saturday,3,8,2564000
MIP-00113,TV 65 Inch,TV,2025-08-13,2,Wednesday,8,13,1520000
MIP-00114,Epson 6000 Lumens,Proyektor,2025-12-26,4,Friday,12,5,4246000
MIP-00115,TV 43 Inch,TV,2025-01-07,4,Tuesday,1,7,1232000
MIP-00116,TV 55 Inch,TV,2025-09-30,3,Tuesday,9,8,1773000
MIP-00117,TV 50 Inch,TV,2025-06-03,3,Tuesday,6,18,1432000
MIP-00118,TV 55 Inch,TV,2025-02-16,6,Sunday,2,14,3093000
MIP-00119,Screen 3x4,Screen,2024-07-15,4,Monday,7,17,1726000
MIP-00120,Screen 3x4,Screen,2025-09-22,5,Monday,9,14,2016000
MIP-00121,TV 65 Inch,TV,2025-07-15,7,Tuesday,7,5,5201000
MIP-00122,TV 50 Inch,TV,2024-10-20,2,Sunday,10,18,971000
MIP-00123,TV 55 Inch,TV,2025-04-21,4,Monday,4,19,2120000
MIP-00124,TV 43 Inch,TV,2025-06-07,4,Saturday,6,10,1106000
MIP-00125,Screen 2x3,Screen,2024-10-17,5,Thursday,10,15,1418000
MIP-00126,Screen 2x3,Screen,2026-04-18,7,Saturday,4,12,2069000
MIP-00127,TV 50 Inch,TV,2024-08-18,7,Sunday,8,11,3350000
MIP-00128,Screen 3x4,Screen,2024-01-26,1,Friday,1,12,429000
MIP-00129,TV 75 Inch,TV,2025-09-17,7,Wednesday,9,7,7572000
MIP-00130,TV 75 Inch,TV,2025-02-28,6,Friday,2,11,7215000
MIP-00131,TV 65 Inch,TV,2025-05-21,4,Wednesday,5,12,2754000
MIP-00132,Screen 3x4,Screen,2025-11-02,6,Sunday,11,5,2267000
MIP-00133,Screen 2x3,Screen,2026-03-08,4,Sunday,3,12,1109000
MIP-00134,Screen 3x4,Screen,2026-04-03,6,Friday,4,19,2322000
MIP-00135,Epson 6000 Lumens,Proyektor,2025-07-24,2,Thursday,7,8,2177000
MIP-00136,TV 75 Inch,TV,2024-05-16,7,Thursday,5,19,8103000
MIP-00137,TV 55 Inch,TV,2026-02-12,4,Thursday,2,18,2208000
MIP-00138,TV 75 Inch,TV,2024-06-11,6,Tuesday,6,20,7492000
MIP-00139,TV 75 Inch,TV,2024-09-22,7,Sunday,9,12,8171000
MIP-00140,TV 50 Inch,TV,2026-02-23,7,Monday,2,20,3447000
MIP-00141,TV 43 Inch,TV,2024-10-08,4,Tuesday,10,7,1311000
MIP-00142,TV 50 Inch,TV,2024-08-28,3,Wednesday,8,15,1283000
MIP-00143,TV 55 Inch,TV,2025-07-07,1,Monday,7,9,550000
MIP-00144,Screen 3x4,Screen,2024-08-24,4,Saturday,8,9,1536000
MIP-00145,TV 43 Inch,TV,2024-03-06,4,Wednesday,3,18,1148000
MIP-00146,TV 55 Inch,TV,2025-07-09,4,Wednesday,7,18,1996000
MIP-00147,Epson 6000 Lumens,Proyektor,2024-07-30,7,Tuesday,7,18,7153000
MIP-00148,TV 65 Inch,TV,2026-02-27,5,Friday,2,5,3502000
MIP-00149,TV 65 Inch,TV,2025-05-03,1,Saturday,5,16,637000
MIP-00150,TV 50 Inch,TV,2026-02-10,4,Tuesday,2,18,1720000
MIP-00151,TV 43 Inch,TV,2025-05-14,2,Wednesday,5,13,649000
MIP-00152,TV 65 Inch,TV,2025-05-12,1,Monday,5,17,664000
MIP-00153,TV 55 Inch,TV,2025-11-15,6,Saturday,11,17,3066000
MIP-00154,Screen 3x4,Screen,2025-04-23,2,Wednesday,4,5,798000
MIP-00155,TV 65 Inch,TV,2025-08-29,5,Friday,8,5,3840000
MIP-00156,Screen 2x3,Screen,2025-10-20,4,Monday,10,9,1138000
MIP-00157,TV 75 Inch,TV,2024-07-05,1,Friday,7,13,1241000
MIP-00158,TV 65 Inch,TV,2024-12-01,2,Sunday,12,19,1473000
MIP-00159,TV 55 Inch,TV,2024-12-11,7,Wednesday,12,17,3648000
MIP-00160,TV 50 Inch,TV,2026-02-09,7,Monday,2,18,3294000
MIP-00161,TV 50 Inch,TV,2024-03-24,4,Sunday,3,5,1752000
MIP-00162,Epson 6000 Lumens,Proyektor,2024-12-24,2,Tuesday,12,7,2053000
MIP-00163,Epson 6000 Lumens,Proyektor,2026-02-11,1,Wednesday,2,12,1027000
MIP-00164,TV 43 Inch,TV,2024-01-21,5,Sunday,1,9,1511000
MIP-00165,TV 43 Inch,TV,2024-05-09,4,Thursday,5,8,1102000
MIP-00166,TV 43 Inch,TV,2025-04-21,6,Monday,4,13,1921000
MIP-00167,TV 55 Inch,TV,2024-06-20,5,Thursday,6,8,2651000
MIP-00168,Screen 3x4,Screen,2024-11-14,1,Thursday,11,5,375000
MIP-00169,TV 50 Inch,TV,2025-08-12,6,Tuesday,8,17,2452000
MIP-00170,TV 65 Inch,TV,2026-01-02,2,Friday,1,7,1425000
MIP-00171,TV 43 Inch,TV,2024-04-14,6,Sunday,4,14,1864000
MIP-00172,Screen 2x3,Screen,2026-03-26,5,Thursday,3,6,1355000
MIP-00173,TV 55 Inch,TV,2025-06-29,4,Sunday,6,16,2205000
MIP-00174,Screen 2x3,Screen,2025-06-02,6,Monday,6,15,1702000
MIP-00175,Epson 6000 Lumens,Proyektor,2025-03-06,7,Thursday,3,20,7203000
MIP-00176,Screen 2x3,Screen,2025-03-19,3,Wednesday,3,19,841000
MIP-00177,Screen 3x4,Screen,2025-03-21,2,Friday,3,13,831000
MIP-00178,TV 75 Inch,TV,2025-04-21,4,Monday,4,13,4691000
MIP-00179,TV 55 Inch,TV,2024-09-08,7,Sunday,9,7,4186000
MIP-00180,TV 50 Inch,TV,2025-04-06,2,Sunday,4,19,835000
MIP-00181,TV 65 Inch,TV,2024-12-10,1,Tuesday,12,20,678000
MIP-00182,TV 55 Inch,TV,2024-07-05,4,Friday,7,11,2030000
MIP-00183,TV 55 Inch,TV,2026-03-27,3,Friday,3,15,1790000
MIP-00184,TV 50 Inch,TV,2025-09-02,6,Tuesday,9,13,2904000
MIP-00185,Epson 6000 Lumens,Proyektor,2025-06-13,2,Friday,6,7,1903000
MIP-00186,TV 43 Inch,TV,2026-01-07,4,Wednesday,1,20,1238000
MIP-00187,TV 43 Inch,TV,2025-12-08,4,Monday,12,20,1276000
MIP-00188,TV 75 Inch,TV,2026-03-22,1,Sunday,3,7,1213000
MIP-00189,TV 50 Inch,TV,2024-08-14,4,Wednesday,8,12,1811000
MIP-00190,TV 50 Inch,TV,2025-11-10,5,Monday,11,16,2134000
MIP-00191,TV 75 Inch,TV,2025-07-20,5,Sunday,7,16,5512000
MIP-00192,TV 65 Inch,TV,2026-02-02,5,Monday,2,15,3778000
MIP-00193,TV 55 Inch,TV,2025-12-20,4,Saturday,12,13,2376000
MIP-00194,TV 50 Inch,TV,2024-09-14,2,Saturday,9,8,924000
MIP-00195,TV 43 Inch,TV,2024-11-19,1,Tuesday,11,10,290000
MIP-00196,TV 43 Inch,TV,2024-08-09,6,Friday,8,20,1746000
MIP-00197,TV 50 Inch,TV,2026-01-11,5,Sunday,1,14,2352000
MIP-00198,Screen 2x3,Screen,2024-07-17,3,Wednesday,7,12,971000
MIP-00199,TV 55 Inch,TV,2024-07-02,3,Tuesday,7,5,1778000
MIP-00200,Screen 3x4,Screen,2024-10-07,1,Monday,10,6,422000
MIP-00201,TV 50 Inch,TV,2025-12-15,2,Monday,12,20,926000
MIP-00202,Screen 2x3,Screen,2024-01-13,5,Saturday,1,14,1375000
MIP-00203,TV 75 Inch,TV,2025-05-05,4,Monday,5,15,4475000
MIP-00204,Screen 3x4,Screen,2024-02-22,3,Thursday,2,20,1296000
MIP-00205,Screen 2x3,Screen,2026-04-21,1,Tuesday,4,17,306000
MIP-00206,TV 75 Inch,TV,2024-03-16,5,Saturday,3,6,5411000
MIP-00207,Screen 3x4,Screen,2024-06-01,7,Saturday,6,14,2577000
MIP-00208,Screen 2x3,Screen,2024-09-11,1,Wednesday,9,18,310000
MIP-00209,TV 43 Inch,TV,2026-03-05,5,Thursday,3,17,1352000
MIP-00210,TV 75 Inch,TV,2025-03-29,3,Saturday,3,18,3356000
MIP-00211,TV 50 Inch,TV,2025-08-05,5,Tuesday,8,6,2272000
MIP-00212,Screen 2x3,Screen,2026-02-20,2,Friday,2,11,623000
MIP-00213,TV 50 Inch,TV,2025-11-07,1,Friday,11,10,464000
MIP-00214,TV 43 Inch,TV,2024-06-26,5,Wednesday,6,7,1417000
MIP-00215,Screen 3x4,Screen,2024-01-03,4,Wednesday,1,19,1668000
MIP-00216,TV 75 Inch,TV,2024-10-25,1,Friday,10,12,1137000
MIP-00217,TV 50 Inch,TV,2025-12-24,3,Wednesday,12,19,1303000
MIP-00218,Screen 2x3,Screen,2025-12-04,2,Thursday,12,13,630000
MIP-00219,TV 43 Inch,TV,2025-03-11,1,Tuesday,3,12,309000
MIP-00220,Screen 3x4,Screen,2024-09-29,7,Sunday,9,9,2996000
MIP-00221,Screen 2x3,Screen,2024-03-02,2,Saturday,3,14,619000
MIP-00222,TV 50 Inch,TV,2025-03-25,1,Tuesday,3,19,456000
MIP-00223,TV 50 Inch,TV,2025-12-17,4,Wednesday,12,13,1654000
MIP-00224,TV 75 Inch,TV,2025-03-24,1,Monday,3,6,1168000
MIP-00225,TV 65 Inch,TV,2026-01-22,3,Thursday,1,13,2001000
MIP-00226,Epson 6000 Lumens,Proyektor,2024-04-03,2,Wednesday,4,5,1898000
MIP-00227,TV 50 Inch,TV,2025-08-13,1,Wednesday,8,10,493000
MIP-00228,TV 75 Inch,TV,2025-06-15,6,Sunday,6,19,7046000
MIP-00229,TV 50 Inch,TV,2024-07-04,5,Thursday,7,18,2426000
MIP-00230,TV 75 Inch,TV,2024-04-03,4,Wednesday,4,16,4926000
MIP-00231,TV 65 Inch,TV,2024-12-07,3,Saturday,12,8,2224000
MIP-00232,Screen 3x4,Screen,2024-12-03,4,Tuesday,12,20,1601000
MIP-00233,TV 50 Inch,TV,2025-11-09,4,Sunday,11,6,1828000
MIP-00234,TV 75 Inch,TV,2024-03-31,3,Sunday,3,13,3595000
MIP-00235,TV 55 Inch,TV,2024-04-28,7,Sunday,4,17,3615000
MIP-00236,Epson 6000 Lumens,Proyektor,2025-11-04,7,Tuesday,11,19,7311000
MIP-00237,TV 65 Inch,TV,2024-02-25,2,Sunday,2,16,1339000
MIP-00238,TV 75 Inch,TV,2025-10-02,4,Thursday,10,6,4343000
MIP-00239,TV 43 Inch,TV,2024-09-30,5,Monday,9,9,1544000
MIP-00240,TV 50 Inch,TV,2025-03-24,6,Monday,3,20,2526000
MIP-00241,Screen 2x3,Screen,2024-01-30,6,Tuesday,1,12,1959000
MIP-00242,Screen 3x4,Screen,2024-11-14,5,Thursday,11,5,2182000
MIP-00243,TV 65 Inch,TV,2024-04-05,2,Friday,4,8,1516000
MIP-00244,TV 75 Inch,TV,2024-04-30,6,Tuesday,4,9,7013000
MIP-00245,TV 75 Inch,TV,2026-01-03,3,Saturday,1,13,3251000
MIP-00246,TV 65 Inch,TV,2025-05-09,4,Friday,5,12,3040000
MIP-00247,TV 75 Inch,TV,2025-07-18,2,Friday,7,17,2366000
MIP-00248,TV 43 Inch,TV,2025-09-05,5,Friday,9,9,1640000
MIP-00249,Screen 2x3,Screen,2024-10-09,7,Wednesday,10,18,2295000
MIP-00250,TV 55 Inch,TV,2026-03-17,5,Tuesday,3,13,2944000
MIP-00251,Epson 6000 Lumens,Proyektor,2024-10-16,6,Wednesday,10,14,5753000
MIP-00252,TV 75 Inch,TV,2024-06-01,4,Saturday,6,20,4690000
MIP-00253,TV 55 Inch,TV,2024-12-06,5,Friday,12,17,2943000
MIP-00254,TV 75 Inch,TV,2024-11-25,7,Monday,11,11,8092000
MIP-00255,TV 43 Inch,TV,2025-08-08,4,Friday,8,12,1121000
MIP-00256,TV 65 Inch,TV,2024-02-14,3,Wednesday,2,20,2124000
MIP-00257,TV 65 Inch,TV,2025-01-30,6,Thursday,1,9,4566000
MIP-00258,TV 75 Inch,TV,2024-02-07,2,Wednesday,2,15,2494000
MIP-00259,Screen 2x3,Screen,2025-03-26,1,Wednesday,3,19,304000
MIP-00260,Epson 6000 Lumens,Proyektor,2026-01-09,2,Friday,1,18,1839000
MIP-00261,Screen 3x4,Screen,2024-03-17,4,Sunday,3,13,1637000
MIP-00262,TV 55 Inch,TV,2025-09-30,6,Tuesday,9,17,3623000
MIP-00263,Screen 2x3,Screen,2024-12-02,7,Monday,12,17,1949000
MIP-00264,TV 55 Inch,TV,2025-10-03,6,Friday,10,20,3312000
MIP-00265,Epson 6000 Lumens,Proyektor,2025-09-24,1,Wednesday,9,12,1075000
MIP-00266,TV 50 Inch,TV,2024-08-20,6,Tuesday,8,7,2830000
MIP-00267,TV 65 Inch,TV,2024-04-10,7,Wednesday,4,8,5093000
MIP-00268,TV 75 Inch,TV,2024-06-19,6,Wednesday,6,14,7492000
MIP-00269,Epson 6000 Lumens,Proyektor,2024-02-17,3,Saturday,2,6,2916000
MIP-00270,TV 50 Inch,TV,2025-01-02,3,Thursday,1,18,1294000
MIP-00271,Screen 3x4,Screen,2024-09-07,5,Saturday,9,18,2124000
MIP-00272,Screen 3x4,Screen,2024-06-23,2,Sunday,6,7,850000
MIP-00273,TV 65 Inch,TV,2025-09-26,6,Friday,9,12,4508000
MIP-00274,TV 75 Inch,TV,2025-08-20,2,Wednesday,8,12,2598000
MIP-00275,TV 75 Inch,TV,2025-10-15,3,Wednesday,10,19,3608000
MIP-00276,TV 50 Inch,TV,2025-11-13,1,Thursday,11,19,450000
MIP-00277,TV 50 Inch,TV,2025-11-24,5,Monday,11,10,2384000
MIP-00278,Screen 2x3,Screen,2025-03-28,3,Friday,3,14,927000
MIP-00279,TV 65 Inch,TV,2025-12-07,3,Sunday,12,19,2185000
MIP-00280,TV 50 Inch,TV,2024-07-22,4,Monday,7,20,1906000
MIP-00281,Screen 2x3,Screen,2024-08-30,4,Friday,8,16,1294000
MIP-00282,TV 50 Inch,TV,2025-12-17,3,Wednesday,12,5,1306000
MIP-00283,TV 65 Inch,TV,2024-10-08,1,Tuesday,10,6,683000
MIP-00284,TV 75 Inch,TV,2024-10-20,7,Sunday,10,12,7718000
MIP-00285,TV 55 Inch,TV,2024-08-12,6,Monday,8,11,3352000
MIP-00286,TV 50 Inch,TV,2025-11-25,7,Tuesday,11,9,2858000
MIP-00287,Screen 2x3,Screen,2025-10-04,6,Saturday,10,6,1788000
MIP-00288,TV 50 Inch,TV,2026-03-18,4,Wednesday,3,6,1815000
MIP-00289,TV 55 Inch,TV,2026-01-19,2,Monday,1,7,1053000
MIP-00290,TV 50 Inch,TV,2024-11-30,6,Saturday,11,18,2749000
MIP-00291,Screen 3x4,Screen,2024-07-24,2,Wednesday,7,16,725000
MIP-00292,TV 50 Inch,TV,2026-04-30,2,Thursday,4,13,817000
MIP-00293,TV 75 Inch,TV,2026-04-05,3,Sunday,4,15,3832000
MIP-00294,Screen 2x3,Screen,2025-04-24,1,Thursday,4,9,292000
MIP-00295,TV 43 Inch,TV,2025-11-23,6,Sunday,11,17,1666000
MIP-00296,TV 55 Inch,TV,2024-04-02,7,Tuesday,4,17,3867000
MIP-00297,Epson 6000 Lumens,Proyektor,2024-09-27,5,Friday,9,8,5270000
MIP-00298,TV 75 Inch,TV,2025-01-12,6,Sunday,1,13,6791000
MIP-00299,TV 65 Inch,TV,2026-04-22,6,Wednesday,4,16,4303000
MIP-00300,Screen 2x3,Screen,2025-11-22,2,Saturday,11,20,550000
MIP-00301,Epson 6000 Lumens,Proyektor,2025-09-26,5,Friday,9,15,4552000
MIP-00302,TV 43 Inch,TV,2025-10-25,1,Saturday,10,19,302000
MIP-00303,TV 50 Inch,TV,2025-10-26,4,Sunday,10,8,1815000
MIP-00304,Screen 3x4,Screen,2024-02-16,1,Friday,2,14,411000
MIP-00305,TV 75 Inch,TV,2024-04-28,1,Sunday,4,12,1254000
MIP-00306,Screen 3x4,Screen,2025-02-01,4,Saturday,2,16,1752000
MIP-00307,TV 65 Inch,TV,2025-08-24,6,Sunday,8,9,4214000
MIP-00308,TV 65 Inch,TV,2025-11-01,1,Saturday,11,20,675000
MIP-00309,TV 65 Inch,TV,2024-10-13,1,Sunday,10,16,741000
MIP-00310,TV 43 Inch,TV,2025-03-30,4,Sunday,3,12,1145000
MIP-00311,TV 55 Inch,TV,2024-04-11,6,Thursday,4,16,3260000
MIP-00312,TV 55 Inch,TV,2024-03-03,4,Sunday,3,13,2015000
MIP-00313,TV 43 Inch,TV,2024-05-05,7,Sunday,5,19,1901000
MIP-00314,Screen 2x3,Screen,2025-11-09,2,Sunday,11,5,656000
MIP-00315,Epson 6000 Lumens,Proyektor,2026-03-16,3,Monday,3,12,3202000
MIP-00316,Screen 3x4,Screen,2026-03-16,5,Monday,3,11,2078000
MIP-00317,Screen 2x3,Screen,2026-04-29,7,Wednesday,4,11,2062000
MIP-00318,TV 43 Inch,TV,2026-04-12,7,Sunday,4,12,1963000
MIP-00319,TV 55 Inch,TV,2026-03-03,2,Tuesday,3,5,1024000
MIP-00320,TV 50 Inch,TV,2024-05-28,2,Tuesday,5,13,855000
MIP-00321,Screen 3x4,Screen,2024-04-22,6,Monday,4,5,2424000
MIP-00322,Screen 3x4,Screen,2024-01-16,3,Tuesday,1,12,1252000
MIP-00323,TV 55 Inch,TV,2024-01-17,2,Wednesday,1,13,1135000
MIP-00324,Epson 6000 Lumens,Proyektor,2024-05-09,6,Thursday,5,18,5736000
MIP-00325,Screen 2x3,Screen,2026-02-02,1,Monday,2,20,327000
MIP-00326,TV 75 Inch,TV,2026-03-07,3,Saturday,3,8,3771000
MIP-00327,TV 75 Inch,TV,2025-05-30,2,Friday,5,6,2426000
MIP-00328,TV 50 Inch,TV,2025-04-14,6,Monday,4,5,2760000
MIP-00329,Epson 6000 Lumens,Proyektor,2025-05-05,7,Monday,5,17,6887000
MIP-00330,TV 65 Inch,TV,2025-12-03,1,Wednesday,12,20,665000
MIP-00331,TV 75 Inch,TV,2024-03-16,1,Saturday,3,15,1165000
MIP-00332,Screen 3x4,Screen,2024-03-08,2,Friday,3,13,841000
MIP-00333,TV 55 Inch,TV,2025-01-25,5,Saturday,1,14,2483000
MIP-00334,TV 75 Inch,TV,2025-06-01,5,Sunday,6,18,5539000
MIP-00335,Screen 2x3,Screen,2026-03-23,6,Monday,3,8,1637000
MIP-00336,TV 43 Inch,TV,2025-03-16,4,Sunday,3,12,1090000
